product_id,title,handle,product_url,product_type,vendor,tags,created_at,updated_at,published_at,price_min,price_max,compare_at_price_max,is_on_sale,total_variants,available_variants,stock_status,image_count,main_image_url
9841466769721,Erigo Denim Pants Edvard Dark Blue Sand Wash - Celana Panjang Denim Unisex,erigo-denim-pants-edvard-dark-blue-sand-wash-celana-panjang-denim-unisex,https://erigostore.co.id/products/erigo-denim-pants-edvard-dark-blue-sand-wash-celana-panjang-denim-unisex,Denim Pants Washing,ERIGO,,2025-04-09T15:23:59+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:31+07:00,289000.0,289000.0,379000.0,True,7,1,in_stock,13,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134207-7rbk2-m8d3d53pumgo8b.jpg?v=1750318591
9826187804985,Erigo Denim Pants Edwin Medium Blue - Celana Panjang Denim Unisex,erigo-denim-pants-edwin-medium-blue-celana-panjang-denim-unisex,https://erigostore.co.id/products/erigo-denim-pants-edwin-medium-blue-celana-panjang-denim-unisex,Denim Pants Washing,ERIGO,,2025-03-21T09:42:41+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:30+07:00,289000.0,289000.0,379000.0,True,7,1,in_stock,12,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134207-7rbk7-m7kmpx1rbe0xcc.jpg?v=1750318635
9819342471481,Erigo T-Shirt Woosy Cream - Kaos Unisex,erigo-t-shirt-woosy-cream-kaos-unisex,https://erigostore.co.id/products/erigo-t-shirt-woosy-cream-kaos-unisex,,ERIGO,,2025-03-12T10:27:21+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:29+07:00,99000.0,99000.0,129000.0,True,5,1,in_stock,10,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/COVER_T-SHIRT-SUMMER-WOOSY-CREAM.jpg?v=1750318721
9819342340409,Erigo T-Shirt Ring Tee Wazen Cream - Kaos Unisex,erigo-t-shirt-ring-tee-wazen-cream-kaos-unisex,https://erigostore.co.id/products/erigo-t-shirt-ring-tee-wazen-cream-kaos-unisex,,ERIGO,,2025-03-12T10:27:07+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:29+07:00,99000.0,99000.0,149000.0,True,5,1,in_stock,10,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/COVER_T-SHIRT-RING-TEE-WAZEN-CREAM.jpg?v=1750318740
9804608536889,Erigo Shanghai Azzam Short Sleeve Green - Kemeja Koko Lengan Pendek Unisex,erigo-shanghai-azzam-short-sleeve-green-kemeja-koko-lengan-pendek-unisex,https://erigostore.co.id/products/erigo-shanghai-azzam-short-sleeve-green-kemeja-koko-lengan-pendek-unisex,Shanghai Short Sleeve 2025,ERIGO,,2025-03-02T23:11:00+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:28+07:00,139000.0,139000.0,225000.0,True,5,1,in_stock,10,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7rbk2-m6p3wywnkyp31e.jpg?v=1750318785
9804608274745,Erigo Shanghai Kahf Long Sleeve Green - Kemeja Koko Lengan Panjang Unisex,erigo-shanghai-khaf-long-sleeve-green-kemeja-koko-lengan-panjang-unisex,https://erigostore.co.id/products/erigo-shanghai-khaf-long-sleeve-green-kemeja-koko-lengan-panjang-unisex,Shanghai Long Sleeve 2025,ERIGO,,2025-03-02T23:10:36+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:27+07:00,159000.0,159000.0,250000.0,True,5,2,in_stock,10,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7rbka-m6p3wzyy0ykp41.jpg?v=1750318792
9766475465017,Erigo Short Shirt Pocket Daeio Olive - Kemeja Lengan Pendek Rayon Unisex,erigo-short-shirt-pocket-daeio-olive-kemeja-lengan-pendek-rayon-unisex,https://erigostore.co.id/products/erigo-short-shirt-pocket-daeio-olive-kemeja-lengan-pendek-rayon-unisex,Short Shirt Pocket,ERIGO,,2025-01-24T14:24:30+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:25+07:00,145000.0,145000.0,199000.0,True,5,2,in_stock,11,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7rask-m5dzva3mtd3s9f.jpg?v=1750318807
9766475301177,Erigo Short Shirt Pocket Dalwyn Brown - Kemeja Lengan Pendek Rayon Unisex,erigo-short-shirt-pocket-dalwyn-brown-kemeja-lengan-pendek-rayon-unisex,https://erigostore.co.id/products/erigo-short-shirt-pocket-dalwyn-brown-kemeja-lengan-pendek-rayon-unisex,Short Shirt Pocket,ERIGO,,2025-01-24T14:24:08+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:25+07:00,145000.0,145000.0,199000.0,True,5,2,in_stock,11,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/id-11134201-7rase-m5dzvdqlhod941.jpg?v=1750318823
9764871340345,Erigo Relax Chino Pants Egan Khaky - Celana Panjang Relax Unisex,erigo-relax-chino-pants-egan-khaky-celana-panjang-relax-unisex,https://erigostore.co.id/products/erigo-relax-chino-pants-egan-khaky-celana-panjang-relax-unisex,Relax Chino Pants,ERIGO,,2025-01-22T11:46:13+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:25+07:00,247000.0,247000.0,349000.0,True,7,3,in_stock,13,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/COVER_RELAX-CHINO-PANTS-EGAN-KHAKY-05.jpg?v=1750318830
9760268583225,Erigo T-Shirt Contrast Stitch Vanku Blue - Kaos Unisex,erigo-t-shirt-contrast-stitch-vanku-blue-kaos-unisex,https://erigostore.co.id/products/erigo-t-shirt-contrast-stitch-vanku-blue-kaos-unisex,T-Shirt Contrast Stitch,ERIGO,,2025-01-17T10:01:20+07:00,2026-07-15T00:07:39+07:00,2025-08-27T15:43:24+07:00,73000.0,73000.0,99000.0,True,5,2,in_stock,11,https://cdn.shopify.com/s/files/1/0607/2841/0296/files/COVER_T-Shirt-Contrast-Stitch-Vanku-Blue.jpg?v=1750318888
